model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,26,0.0001,1.0075198411941528
opt-125m,2,27,0.0001,1.010955810546875
opt-125m,2,28,0.0001,1.0138142108917236
opt-125m,2,29,0.0001,1.0162694454193115
opt-125m,2,30,0.0001,1.0183037519454956
opt-125m,2,31,0.0001,1.0199873447418213
opt-125m,2,32,0.0001,1.0213921070098877
opt-125m,2,33,0.0001,1.0225322246551514
opt-125m,2,34,0.0001,1.0234594345092773
opt-125m,2,35,0.0001,1.0241649150848389
opt-125m,2,36,0.0001,1.0247138738632202
opt-125m,2,37,0.0001,1.0251117944717407
opt-125m,2,38,0.0001,1.0253818035125732
opt-125m,2,39,0.0001,1.0255471467971802
opt-125m,2,40,0.0001,1.0256226062774658
opt-125m,2,1,0.8317,0.6946821212768555
opt-125m,2,2,0.6478,0.6914926767349243
opt-125m,2,3,0.5747,0.6850985288619995
opt-125m,2,4,0.4399,0.674819827079773
opt-125m,2,5,0.2798,0.6602400541305542
opt-125m,2,6,0.1657,0.6507025957107544
opt-125m,2,7,0.091,0.6399878263473511
opt-125m,2,8,0.0543,0.6317564249038696
opt-125m,2,9,0.0462,0.6262661218643188
opt-125m,2,10,0.0199,0.6213129758834839
opt-125m,2,11,0.0149,0.6169377565383911
opt-125m,2,12,0.0094,0.6116036176681519
opt-125m,2,13,0.0035,0.6063631772994995
opt-125m,2,14,0.003,0.6020115613937378
opt-125m,2,15,0.0022,0.5978447198867798
opt-125m,2,16,0.0012,0.5937238335609436
opt-125m,2,17,0.0008,0.5904265642166138
opt-125m,2,18,0.0009,0.587746798992157
opt-125m,2,19,0.0006,0.5854941606521606
opt-125m,2,20,0.0003,0.5834236741065979
opt-125m,2,21,0.0003,0.5815160870552063
opt-125m,2,22,0.0003,0.579862117767334
opt-125m,2,23,0.0002,0.5784617066383362
opt-125m,2,24,0.0002,0.5772958397865295
opt-125m,2,25,0.0002,0.5763190984725952
opt-125m,2,26,0.0002,0.5755044221878052
opt-125m,2,27,0.0001,0.5747901201248169
opt-125m,2,28,0.0001,0.5741740465164185
opt-125m,2,29,0.0001,0.5736585855484009
opt-125m,2,30,0.0001,0.5732434988021851
opt-125m,2,31,0.0001,0.5729133486747742
opt-125m,2,32,0.0001,0.5726360082626343
opt-125m,2,33,0.0001,0.5724208950996399
opt-125m,2,34,0.0001,0.5722665786743164
opt-125m,2,35,0.0001,0.572151243686676
opt-125m,2,36,0.0001,0.572064995765686
opt-125m,2,37,0.0001,0.5720024704933167
opt-125m,2,38,0.0001,0.5719600915908813
opt-125m,2,39,0.0001,0.5719348192214966
opt-125m,2,40,0.0002,0.5719233751296997
opt-125m,2,1,0.4585,0.6946821212768555
opt-125m,2,2,0.5262,0.7112294435501099
opt-125m,2,3,0.3458,0.7519916296005249
opt-125m,2,4,0.1904,0.8330278396606445
opt-125m,2,5,0.096,0.9755994081497192
opt-125m,2,6,0.0535,1.1564712524414062
opt-125m,2,7,0.0201,1.3573696613311768
opt-125m,2,8,0.0114,1.5712288618087769
opt-125m,2,9,0.0043,1.7938607931137085
opt-125m,2,10,0.0024,2.0105814933776855
opt-125m,2,11,0.001,2.218569278717041
opt-125m,2,12,0.0007,2.4150023460388184
opt-125m,2,13,0.0005,2.5978095531463623
opt-125m,2,14,0.0002,2.764249563217163
opt-125m,2,15,0.0001,2.913285732269287
opt-125m,2,16,0.0001,3.0476279258728027
opt-125m,2,17,0.0001,3.1669020652770996
opt-125m,2,18,0.0001,3.2729434967041016
